Supplementary Table S4. Essential genes in R. palustris CGA009 and homologs in related organisms.												Best C. crescentus Homolog							Best E. coli Homolog					
Locus	PID	Start	Stop	Length (bp)	Strand	Gene	Product	COGs	Functional Group	Functional Sub-group	Total Cc homologs?	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in Cc NA1000? (Christen et al., 2011)"	Total Ec homologs	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in MG1655? (Baba et al., 2006)"
RPA0337	39933414	365393	366106	714	+	pyrF	orotidine 5'-phosphate decarboxylase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_00104	-	orotidine 5'-phosphate decarboxylase	1E-80	54%	Nonessential	2	b1281	pyrF	orotidine-5'-phosphate decarboxylase	2E-48	39%	Nonessential
RPA0339	39933416	366537	367352	816	+	dapB	dihydrodipicolinate reductase	[E] Amino acid transport and metabolism	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_03664	-	dihydrodipicolinate reductase	5E-75	48%	essential	1	b0031	dapB	dihydrodipicolinate reductase	1E-76	45%	essential
RPA0340	39933417	367433	368947	1515	-	pgm1	phosphoglyceromutase	[G] Carbohydrate transport and metabolism	Metabolism	Glycolysis	0	no C. crescentus homolog found						1	b3612	gpmM	"phosphoglycero mutase III, cofactor-independent"	1E-176	52%	Nonessential
RPA0349	39933426	378721	379893	1173	+	dcm	site-specific DNA-methyltransferase	"[L] Replication, recombination and repair"	DNA methylation	DNA methylation	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0355	39933432	384983	385384	402	-	-	PTS system fructose subfamily transporter subunit IIA	[G] Carbohydrate transport and metabolism	Transport	Fructose transport	1	CCNA_00240	-	"PTS system, IIA component"	5E-59	62%	Nonessential	3	b1817	manX	fused mannose-specific PTS enzymes: IIA	2E-17	29%	Nonessential
RPA0356	39933433	385572	386039	468	-	-	HPr kinase	[T] Signal transduction mechanisms	Catabolite repression	HPr system	2	CCNA_00239	hprK	serine kinase/phosphatase HprK	3E-13	30%	Nonessential	0	no E. coli homolog found					
RPA0357	39933434	386036	387781	1746	-	exoS	sensor signal transduction histidine kinase	[T] Signal transduction mechanisms	Sensing and signalling	Two-component systems	1	CCNA_00238	chvG	two-component sensor histidine kinase chvG	4E-115	39%	Nonessential	0	no E. coli homolog found					
RPA0358	39933435	387944	388645	702	-	chvI	two-component transcriptional regulator ChvI	"[K] Transcription, [T] Signal transduction mechanisms"	Sensing and signalling	Two-component systems	14	CCNA_00237	chvI	two-component response regulator chvI	1E-113	66%	Nonessential	15	b2079	baeR	DNA-binding response regulator in two-component system	9E-58	41%	Nonessential
RPA0360	39933437	389802	391415	1614	+	pckA	phosphoenolpyruvate carboxykinase	[C] Energy production and conversion	Metabolism	Central metabolism	0	no C. crescentus homolog found						1	b3403	pck	phosphoenolpyruvate carboxykinase	3E-166	47%	Nonessential
RPA0367	39933444	397207	398106	900	-	rpoH	RNA polymerase factor sigma-32	[K] Transcription	Sigma factors	Sigma factors	2	CCNA_03195	rpoH	RNA polymerase sigma factor RpoH	2E-144	66%	essential	3	b3461	rpoH	"RNA polymerase, sigma 32 (sigma H) factor"	4E-64	39%	essential
RPA0387	39933464	423309	424133	825	-	map	methionine aminopeptidase type I	"[J] Translation, ribosomal structure and biogenesis"	Proteases/Peptidases	Peptidases	1	CCNA_02759	-	methionine aminopeptidase	7E-140	67%	essential	3	b0168	map	methionine aminopeptidase	6E-85	45%	essential
RPA0392	39933469	431740	433077	1338	-	argG	argininosuccinate synthase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_00128	-	argininosuccinate synthase	2E-37	26%	Nonessential	1	b3172	argG	argininosuccinate synthetase	0E+00	80%	Nonessential
RPA0411	39933488	454277	454813	537	+	ppa	inorganic pyrophosphatase	[C] Energy production and conversion	Metabolism	Phosphate metabolism	1	CCNA_00045	-	inorganic pyrophosphatase	5E-73	54%	essential	1	b4226	ppa	inorganic pyrophosphatase	2E-70	55%	essential
RPA0413	39933490	456520	457407	888	-	folD?	"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase"	[H] Coenzyme transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_01275	-	"bifunctional 5,10-methylene-tetrahydrofolat"	8E-128	60%	High_Fitness_Costs	1	b0529	folD	"bifunctional 5,10-methylene-tetrahydrofolate"	7E-87	48%	essential
RPA0423	39933500	465416	465940	525	+	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	1	CCNA_03837	-	bacterial SH3 domain protein	1E-33	32%	essential	0	no E. coli homolog found					
RPA0424	39933501	466048	466539	492	-	-	FUR family transcriptional regulator	[P] Inorganic ion transport and metabolism	Transcriptional regulators	Iron regulation	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0425	39933502	466798	467325	528	+	fabA	3-hydroxydecanoyl-ACP dehydratase	[I] Lipid transport and metabolism	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_03836	-	3-hydroxydecanoyl-(acyl-carrier-protein	6E-87	65%	essential	1	b0954	fabA	beta-hydroxydecanoyl thioester dehydrase	6E-84	63%	essential
RPA0432	39933509	475919	478087	2169	-	pnp	polynucleotide phosphorylase	"[J] Translation, ribosomal structure and biogenesis"	Transcription	RNA processing/RNAses	1	CCNA_00033	-	polyribonucleotid	0E+00	70%	essential	1	b3164	pnp	polynucleotide phosphorylase/polyadenylase	0E+00	55%	Nonessential
RPA0433	39933510	478426	478695	270	-	rpsO	30S ribosomal protein S15	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_00034	-	SSU ribosomal protein S15P	7E-44	72%	essential	1	b3165	rpsO	30S ribosomal subunit protein S15	3E-33	53%	Nonessential
RPA0436	39933513	480385	483036	2652	-	infB	translation initiation factor IF-2	"[J] Translation, ribosomal structure and biogenesis"	Translation	Translation initiation	0	no C. crescentus homolog found						1	b3168	infB	"fused protein chain initiation factor 2, IF2"	0E+00	41%	essential
RPA0437	39933514	483029	483808	780	-	-	hypothetical protein	[K] Transcription	Hypothetical proteins	Hypothetical proteins	1	CCNA_00042	-	Ylxr-like protein	1E-42	31%	High_Fitness_Costs	0	no E. coli homolog found					
RPA0438	39933515	483870	485483	1614	-	nusA	transcription elongation factor NusA	[K] Transcription	Transcription	Transcription	1	CCNA_00043	nusA	N utilization substance protein A NusA	0E+00	62%	essential	1	b3169	nusA	transcription termination/antitermination L	3E-133	40%	essential
RPA0444	39933521	490161	491771	1611	-	lnt	apolipoprotein N-acyltransferase	[M] Cell wall/membrane/envelope biogenesis	Lipoproteins	Lipoproteins	1	CCNA_00050	-	apolipoprotein N-acyltransferase	4E-78	32%	essential	1	b0657	lnt	apolipoprotein N-acyltransferase	7E-51	32%	essential
RPA0452	39933529	497809	498504	696	-	-	peptidase M22 glycoprotease (universal protein YeaZ)	"[O] Posttranslational modification, protein turnover, chaperones"	Proteases/Peptidases	Glycoproteases	1	CCNA_00057	-	glycoprotease family protein	1E-32	38%	essential	0	no E. coli homolog found					
RPA0455	39933532	500093	501145	1053	-	trpS	tryptophanyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_00062	trpS	tryptophanyl-tRNA synthetase	9E-153	59%	essential	1	b3384	trpS	tryptophanyl-tRNA synthetase	5E-98	41%	essential
RPA0468	39933545	516372	517196	825	-	-	binding-protein-dependent transport system inner membrane protein	[P] Inorganic ion transport and metabolism	Transport	Transport	1	CCNA_02718	tauC	taurine transport system permease protein tauC	8E-57	39%	Nonessential	3	b0367	tauC	taurine transporter subunit	9E-13	23%	Nonessential
RPA0471	39933548	519304	520116	813	+	-	creatininase	[R] General function prediction only	Metabolism	Amino acid metabolism	1	CCNA_03693	-	creatinine amidohydrolase family protein	9E-15	25%	Nonessential	0	no E. coli homolog found					
RPA0474	39933551	524516	525466	951	+	-	hypothetical protein	"[H] Coenzyme transport and metabolism, [J] Translation, ribosomal structure and biogenesis"	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0488	39933565	539338	540000	663	-	-	CarD-like transcriptional regulator	[K] Transcription	Transcriptional regulators	Transcriptional regulators	1	CCNA_00690	-	CarD-family transcriptional regulator	2E-73	45%	essential	0	no E. coli homolog found					
RPA0489	39933566	540697	541035	339	-	-	ferredoxin II (4Fe-4S)	[C] Energy production and conversion	Metabolism	Ferredoxins	2	CCNA_00691	-	ferredoxin	1E-57	67%	essential	4	b1628	rsxB	"electron transport complex protein, iron-sulfur"	6E-08	26%	Nonessential
RPA0493	39933570	546167	546472	306	+	rpmB	50S ribosomal protein L28	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	2	CCNA_00699	-	LSU ribosomal protein L28P	1E-35	48%	essential	1	b3637	rpmB	50S ribosomal subunit protein L28	7E-15	30%	essential
RPA0496	39933573	551239	553143	1905	-	cobT2	cobalt chelatase pCobT subunit	[H] Coenzyme transport and metabolism	Metabolism	Vitamin B12 biosynthesis	1	CCNA_00708	-	cobaltochelatase cobT subunit	0E+00	55%	High_Fitness_Costs	0	no E. coli homolog found					
RPA0498	39933575	553555	554550	996	-	cobS2	cobalt chelatase pCobS small subunit	[R] General function prediction only	Metabolism	Vitamin B12 biosynthesis	1	CCNA_03115	-	cobaltochelatase cobS subunit	0E+00	72%	essential	0	no E. coli homolog found					
RPA0503	39933580	557973	559118	1146	-	aroB	3-dehydroquinate synthase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_03104	-	3-dehydroquinate synthase	6E-115	49%	essential	2	b3389	aroB	3-dehydroquinate synthase	9E-87	42%	Nonessential
RPA0504	39933581	559129	559740	612	-	aroK	shikimate kinase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	2	CCNA_03103	-	shikimate kinase	1E-60	46%	essential	4	b3390	aroK	shikimate kinase I	8E-37	33%	Nonessential
RPA0510	39933587	564875	567715	2841	-	secA	preprotein translocase subunit SecA	"[U] Intracellular trafficking, secretion, and vesicular transport"	Secretion	Secretion	1	CCNA_03164	-	protein translocase subunit secA	0E+00	59%	essential	1	b0098	secA	"preprotein translocase subunit, ATPase"	0E+00	53%	essential
RPA0519	39933596	578344	579669	1326	+	ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	[I] Lipid transport and metabolism	Metabolism	Isoprenoid biosynthesis	1	CCNA_00894	-	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphat	6E-52	27%	essential	1	b2515	ispG	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	8E-59	29%	essential
RPA0524	39933601	584622	585548	927	-	-	polyprenyl synthetase (similar to E. coli ispA)	[H] Coenzyme transport and metabolism	Metabolism	Isoprenoid biosynthesis	2	CCNA_02150	-	dimethylallyltransferase/geranyltranstransferas	4E-74	46%	essential	2	b0421	ispA	geranyltranstransferase	4E-58	40%	essential
RPA0526	39933603	586522	586704	183	+	rpmF	50S ribosomal protein L32	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01792	-	LSU ribosomal protein L32P	5E-30	67%	essential	2	b1089	rpmF	50S ribosomal subunit protein L32	2E-12	45%	Nonessential
RPA0592	39933669	661788	663029	1242	+	argJ	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_03162	argJ	bifunctional ornithin	5E-133	52%	essential	0	no E. coli homolog found					
RPA0595	39933672	664109	664933	825	-	-	hypothetical protein - possible biotin synthesis protein bioC	not in COGs	Hypothetical proteins	Hypothetical proteins	1	CCNA_00874	bioC	biotin synthesis protein bioC	1E-74	52%	essential	0	no E. coli homolog found					
RPA0603	39933680	669548	670330	783	-	ubiG	3-demethylubiquinone-9 3-methyltransferase	[H] Coenzyme transport and metabolism	Metabolism	Ubiquinone biosynthesis	3	CCNA_00883	-	3-demethylubiquinone 3-methyltransferase	2E-88	47%	essential	1	b2232	ubiG	bifunctional 3-demethylubiquinone-9	2E-66	38%	Nonessential
RPA0604	39933681	670503	671756	1254	+	lysC	aspartate kinase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_00886	-	aspartokinase	1E-170	62%	essential	2	b0002	thrA	fused aspartokinase I and homoserine	6E-47	38%	Nonessential
RPA0606	39933683	674416	675501	1086	+	prfA	peptide chain release factor 1	"[J] Translation, ribosomal structure and biogenesis"	Translation	Translation termination	2	CCNA_00899	-	bacterial peptide chain Release factor 1 (RF-1)	7E-142	55%	essential	2	b1211	prfA	peptide chain release factor RF-1	2E-124	54%	essential
RPA0607	39933684	675498	676367	870	+	hemK	HemK family modification methylase (prmC)	"[J] Translation, ribosomal structure and biogenesis"	Metabolism	Heme biosynthesis	1	CCNA_00918	-	peptide release factor-glutamin	6E-66	41%	Nonessential	2	b1212	prmC	"N5-glutamine methyltransferase, modifies release"	2E-46	35%	essential
RPA0615	39933692	682649	684520	1872	+	dnaX	DNA polymerase III subunits gamma and tau	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	0	no C. crescentus homolog found						1	b0470	dnaX	DNA polymerase III/DNA elongation factor III	8E-82	27%	essential
RPA0621	39933698	688848	689375	528	+	def	peptide deformylase	"[J] Translation, ribosomal structure and biogenesis"	Protein folding/modification	Protein processing	1	CCNA_00273	-	peptide deformylase	5E-68	54%	essential	1	b3287	def	peptide deformylase	1E-50	45%	essential
RPA0622	39933699	689454	690386	933	+	fmt	methionyl-tRNA formyltransferase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA processing	1	CCNA_00281	-	methionyl-tRNA formyltransferase	1E-109	52%	Nonessential	2	b3288	fmt	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet)	3E-80	42%	essential
RPA0624	39933701	691642	692805	1164	-	dapE	succinyl-diaminopimelate desuccinylase	[E] Amino acid transport and metabolism	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_00277	-	succinyl-diaminopimelate desuccinylase	1E-135	53%	essential	1	b2472	dapE	N-succinyl-diaminopimelate deacylase	6E-92	40%	essential
RPA0626	39933703	693297	694142	846	-	dapD	"2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase"	[E] Amino acid transport and metabolism	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_00283	-	"2,3,4,5-tetrahydropyridine-2-carboxylat"	3E-118	65%	essential	1	b0166	dapD	"2,3,4,5-tetrahydropyridine-2-carboxylate"	3E-107	59%	essential
RPA0629	39933706	696146	697042	897	-	argB	acetylglutamate kinase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_00285	-	acetylglutamate kinase	9E-117	59%	Nonessential	2	b3959	argB	acetylglutamate kinase	2E-28	25%	Nonessential
RPA0631	39933708	697535	698185	651	-	engB	ribosome biogenesis GTP-binding protein YsxC	[R] General function prediction only	Translation	Ribosome biogenesis	3	CCNA_00805	yihA	GTP-binding protein YihA	1E-71	52%	essential	2	b3865	yihA	GTP-binding protein required for normal cell	8E-40	35%	essential
RPA0632	39933709	698337	700205	1869	-	yidC	inner membrane protein translocase component YidC	"[U] Intracellular trafficking, secretion, and vesicular transport"	Secretion	Secretion	1	CCNA_00806	yidC	inner membrane protein translocase componen	0E+00	47%	essential	1	b3705	yidC	membrane protein insertase	1E-70	26%	essential
RPA0633	39933710	700222	700563	342	-	rnpA	ribonuclease P protein component	"[J] Translation, ribosomal structure and biogenesis"	Translation	RNA processing/RNAses	1	CCNA_00807	-	ribonuclease P protein component	7E-23	41%	essential	1	b3704	rnpA	protein C5 component of RNase P	5E-08	26%	essential
RPA0634	39933711	700587	700721	135	-	rpmH	50S ribosomal protein L34	not in COGs	Translation	Ribosome	2	CCNA_00808	-	LSU ribosomal protein L34P	6E-16	75%	essential	1	b3703	rpmH	50S ribosomal subunit protein L34	2E-14	50%	essential
RPA0662	39933739	731512	731757	246	+	badB	ferredoxin	not in COGs	Metabolism	Ferredoxins	2	CCNA_02020	nuoI	NADH-quinone oxidoreductase chain I	1E-09	32%	essential	8	b2562	yfhL	predicted 4Fe-4S cluster-containing protein	1E-26	51%	Nonessential
RPA0673	39933750	743331	744056	726	-	hbaR	hydroxybenzoate anaerobic degradation regulatory protein HbaR	[T] Signal transduction mechanisms	Metabolism	Aromatic compound metabolism	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0710	39933787	781991	782251	261	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						1	b2400	gltX	glutamyl-tRNA synthetase	4E-04	27%	essential
RPA0757	39933834	838708	838902	195	-	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	2	CCNA_02073	-	cupin domain transcriptional regulator	4E-04	30%	Nonessential	1	b3294	rplQ	50S ribosomal subunit protein L17	5E-05	22%	essential
RPA0759	39933836	839979	840884	906	-	-	oligopeptide ABC transporter permease	"[P] Inorganic ion transport and metabolism, [E] Amino acid transport and metabolism"	Transport	Transport	0	no C. crescentus homolog found						7	b0832	gsiD	"glutathione transporter, permease component"	3E-64	36%	Nonessential
RPA0795	39933872	882652	883284	633	-	-	S24 family peptidase	[K] Transcription	Proteases/Peptidases	Peptidases	1	CCNA_00080	-	LexA-related transcriptional repressor	1E-67	48%	Nonessential	0	no E. coli homolog found					
RPA0797	39933874	883955	885049	1095	+	uraI	dihydroorotate dehydrogenase 2	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_00562	-	dihydroorotate dehydrogenase	9E-111	51%	Nonessential	2	b0945	pyrD	"dihydro-orotate oxidase, FMN-linked"	3E-85	40%	Nonessential
RPA0822	39933899	918960	920396	1437	+	gshA	glutamate--cysteine ligase	[H] Coenzyme transport and metabolism	Metabolism	Redox balance	1	CCNA_03527	-	glutamate-cysteine ligase family 2	0E+00	55%	essential	0	no E. coli homolog found					
RPA0823	39933900	920542	921093	552	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0839	161610777	933124	934554	1431	+	thrC	threonine synthase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_03510	-	threonine synthase	7E-164	50%	essential	1	b0004	thrC	threonine synthase	3E-68	30%	Nonessential
RPA0842	39933919	936587	937240	654	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0843	39933920	937373	937864	492	-	atpF1	H+-transporting two-sector ATPase subunit B/B'	[C] Energy production and conversion	Metabolism	ATP synthesis	1	CCNA_00370	-	ATP synthase B chain	7E-18	47%	essential	1	b3736	atpF	F0 sector of membrane-bound ATP synthase	1E-06	28%	Nonessential
RPA0844	39933921	937870	938427	558	-	atpF2	H+-transporting two-sector ATPase subunit B/B'	[C] Energy production and conversion	Metabolism	ATP synthesis	1	CCNA_00371	-	ATP synthase B' chain	3E-16	30%	essential	0	no E. coli homolog found					
RPA0845	39933922	938485	938712	228	-	atpE	ATP synthase F0F1 subunit C	not in COGs	Metabolism	ATP synthesis	1	CCNA_00372	-	ATP synthase C chain	2E-27	59%	essential	1	b3869	glnL	sensory histidine kinase in two-component	1E-04	21%	Nonessential
RPA0846	39933923	938761	939507	747	-	atpB	ATP synthase F0F1 subunit A	[C] Energy production and conversion	Metabolism	ATP synthesis	1	CCNA_00373	-	ATP synthase A chain	2E-77	49%	essential	1	b3738	atpB	F0 sector of membrane-bound ATP synthase	1E-15	22%	Nonessential
RPA0847	39933924	939577	939963	387	-	atpI	FoF1 ATP synthase subunit I	[S] Function unknown	Metabolism	ATP synthesis	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0857	39933934	953782	954516	735	-	-	outer membrane protein	[M] Cell wall/membrane/envelope biogenesis	Outer membrane proteins	Outer membrane proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0865	39933942	961340	962770	1431	-	-	homospermidine synthase	"[Q] Secondary metabolites biosynthesis, transport and catabolism"	Metabolism	Polyamine/alkaloid metabolism	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0871	39933948	966769	967029	261	-	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	1	CCNA_03665	-	DctA-YdbH superfamily protein	2E-04	23%	Nonessential	1	b0312	betB	"betaine aldehyde dehydrogenase, NAD-dependent"	3E-04	22%	Nonessential
RPA0875	39933952	971472	972509	1038	+	hemH	ferrochelatase	[H] Coenzyme transport and metabolism	Metabolism	Heme biosynthesis	1	CCNA_03878	hemH	ferrochelatase	2E-21	25%	essential	1	b0475	hemH	ferrochelatase	2E-83	38%	essential
RPA0879	39933956	975442	976455	1014	-	kpsF	sugar isomerase	"[T] Signal transduction mechanisms, [M] Cell wall/membrane/envelope biogenesis"	Metabolism	Carbohydrate metabolism	1	CCNA_02346	-	arabinose-5-phosphate isomerase	7E-113	50%	essential	2	b3197	kdsD	D-arabinose 5-phosphate isomerase	7E-94	42%	Nonessential
RPA0887	39933964	984555	985430	876	-	exoN	UTP-glucose-1-phosphate uridylyltransferase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Glycogen synthesis	1	CCNA_03752	-	UTP-glucose-1-phosphate uridylyltransferase	2E-124	58%	essential	2	b1236	galU	glucose-1-phosphate uridylyltransferase	7E-74	45%	Nonessential
RPA0891	39933968	988573	993300	4728	+	gltB	glutamate synthase ferredoxin subunit	[E] Amino acid transport and metabolism	Metabolism	Central metabolism	1	CCNA_03722	gltB	glutamate synthase (NADPH) large chain GltB	0E+00	42%	Nonessential	1	b3212	gltB	"glutamate synthase, large subunit"	0E+00	44%	Nonessential
RPA0892	39933969	993473	994927	1455	+	gltD	glutamate synthase subunit beta	"[E] Amino acid transport and metabolism, [R] General function prediction only"	Metabolism	Central metabolism	1	CCNA_03721	gltD	glutamate synthase (NADPH) small chain GltD	4E-82	39%	Nonessential	5	b3213	gltD	"glutamate synthase, 4Fe-4S protein, small"	6E-84	38%	Nonessential
RPA0914	39933991	1014871	1017750	2880	-	-	diguanylate cyclase/phosphodiesterase	[T] Signal transduction mechanisms	Metabolism	cdGMP metabolism	1	CCNA_03507	pdeA	GGDEF/EAL phosphodiesterase PdeA	3E-81	21%	Nonessential	0	no E. coli homolog found					
RPA0919	39933996	1020753	1022657	1905	+	-	ABC transporter permease/ATP-binding protein	[V] Defense mechanisms	Transport	Transport	5	CCNA_03383	-	multidrug/protein/lipid ABC transporter family	0E+00	48%	Nonessential	4	b0914	msbA	fused lipid transporter subunits of ABC	3E-104	31%	essential
RPA0927	39934004	1028320	1028529	210	-	-	XRE family transcriptional regulator	[K] Transcription	Transcriptional regulators	Transcriptional regulators	5	CCNA_03379	-	Cro/CI family transcriptional regulator	4E-29	59%	Nonessential	3	b3731	atpC	F1 sector of membrane-bound ATP synthase	5E-05	35%	Nonessential
RPA0937	39934014	1037232	1038020	789	-	suhB	extragenic suppressor protein SuhB	[G] Carbohydrate transport and metabolism	Stress response	Stress response	4	CCNA_03378	-	inositol monophosphatase family protein	2E-104	55%	essential	1	b2533	suhB	inositol monophosphatase	2E-67	40%	essential
RPA0943	39934020	1041690	1042886	1197	-	pgk	phosphoglycerate kinase	[G] Carbohydrate transport and metabolism	Metabolism	Glycolysis	1	CCNA_03359	-	phosphoglycerate kinase	9E-162	60%	High_Fitness_Costs	1	b2926	pgk	phosphoglycerate kinase	1E-99	43%	essential
RPA0944	39934021	1043108	1044115	1008	-	cbbG	glyceraldehyde-3-phosphate dehydrogenase	[G] Carbohydrate transport and metabolism	Metabolism	Glycolysis	1	CCNA_03358	-	glyceraldehyde 3-phosphate dehydrogenase	4E-179	72%	High_Fitness_Costs	2	b1779	gapA	glyceraldehyde-3-phosphate dehydrogenase A	6E-109	51%	essential
RPA0952	39934029	1052203	1054128	1926	-	dxs	1-deoxy-D-xylulose-5-phosphate synthase	"[I] Lipid transport and metabolism, [H] Coenzyme transport and metabolism"	Metabolism	Isoprenoid biosynthesis	1	CCNA_02149	dxs	1-deoxy-D-xylulose 5-phosphate synthase	0E+00	66%	essential	1	b0420	dxs	1-deoxyxylulose-5-phosphate synthase	0E+00	52%	essential
RPA0953	39934030	1054542	1054793	252	-	xseB	exodeoxyribonuclease VII small subunit	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	1	CCNA_02151	-	exodeoxyribonuclease VII small subunit	4E-21	47%	High_Fitness_Costs	4	b0422	xseB	exonuclease VII small subunit	9E-18	37%	Nonessential
RPA1008	39934083	1109469	1110359	891	-	-	AraC family transcriptional regulator	[K] Transcription	Transcriptional regulators	Transcriptional regulators	1	CCNA_02486	-	AraC-family transcriptional regulator	3E-40	33%	Nonessential	0	no E. coli homolog found					
RPA1025	39934100	1126955	1127320	366	+	-	cytochrome b5	"[I] Lipid transport and metabolism, [C] Energy production and conversion"	Metabolism	Electron transport chain	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA1026	39934101	1127420	1128550	1131	-	-	DNA methylase N-4/N-6	"[L] Replication, recombination and repair"	DNA methylation	DNA methylation	1	CCNA_00382	ccrM	adenine-specific methyltransferase ccrM	3E-175	60%	essential	1	b3262	yhdJ	"DNA adenine methyltransferase, SAM-dependent"	2E-34	22%	Nonessential
RPA1036	39934111	1138032	1138862	831	-	polN	phage SPO1 DNA polymerase-like protein	"[L] Replication, recombination and repair"	Sigma factors	Sigma factors	2	CCNA_01394	-	uracil DNA glycosylase superfamily protein	1E-61	42%	essential	1	b1763	topB	DNA topoisomerase III	1E-05	22%	Nonessential
RPA1039	39934114	1142869	1143768	900	+	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	[I] Lipid transport and metabolism	Metabolism	Isoprenoid biosynthesis	1	CCNA_01397	-	4-diphosphocytidyl-2-C-methyl-D-erythrito	2E-57	43%	essential	2	b1208	ispE	4-diphosphocytidyl-2-C-methylerythritol kinase	2E-22	27%	essential
RPA1040	39934115	1143914	1144924	1011	-	ispB	octaprenyl-diphosphate synthase	[H] Coenzyme transport and metabolism	Metabolism	Farnesylation	2	CCNA_02198	-	trans-isoprenyl diphosphate synthase	1E-108	49%	essential	2	b3187	ispB	octaprenyl diphosphate synthase	3E-90	41%	essential
RPA1045	39934120	1147992	1148942	951	+	glyQ	glycyl-tRNA synthetase subunit alpha	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_01403	glyQ	glycyl-tRNA synthetase alpha chain	6E-142	60%	essential	1	b3560	glyQ	"glycine tRNA synthetase, alpha subunit"	1E-136	59%	essential
RPA1047	39934122	1149506	1151836	2331	+	glyS	glycyl-tRNA synthetase subunit beta	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA1053	39934128	1161049	1161924	876	-	nadC	nicotinate-nucleotide pyrophosphorylase	[H] Coenzyme transport and metabolism	Metabolism	NAD/NADP	1	CCNA_03009	-	nicotinate-nucleotide pyrophosphorylase	2E-88	51%	essential	1	b0109	nadC	quinolinate phosphoribosyltransferase	4E-64	41%	Nonessential
RPA1054	39934129	1161941	1163557	1617	-	nadB	L-aspartate oxidase	[H] Coenzyme transport and metabolism	Metabolism	Amino acid metabolism	2	CCNA_03007	-	L-aspartate oxidase	7E-131	47%	essential	3	b2574	nadB	"quinolinate synthase, L-aspartate oxidase"	4E-102	40%	Nonessential
